Measure,Parent,Negate?,Format,Comment
Total Current Assets,Total Unrestricted Assets,FALSE,Percent,
Cash and Investments (Unrestricted),Total Current Assets,FALSE,Percent,
Cash and Cash Equivalents,Cash and Investments (Unrestricted),FALSE,Percent,
Short Term Investments,Cash and Investments (Unrestricted),FALSE,Percent,
Current Assets Whose Use is Limited,Total Current Assets,FALSE,Percent,
Net Patient Accounts Receivable,Total Current Assets,FALSE,Percent,
Due from Affiliates (Current),Total Current Assets,FALSE,Percent,
Third Party Settlements Receivable,Total Current Assets,FALSE,Percent,
Other Accounts Receivable,Total Current Assets,FALSE,Percent,
Inventory,Total Current Assets,FALSE,Percent,
Other Current Assets,Total Current Assets,FALSE,Percent,
Total Non-Current Assets,Total Unrestricted Assets,FALSE,Percent,
Non-Current Assets Whose Use is Limited,Total Non-Current Assets,FALSE,Percent,
Trustee Held Investments,Non-Current Assets Whose Use is Limited,FALSE,Percent,
Board Designated & Undesignated Investments,Non-Current Assets Whose Use is Limited,FALSE,Percent,
Due from Affiliates (Non-Current),Total Non-Current Assets,FALSE,Percent,
Investments in Affiliates,Total Non-Current Assets,FALSE,Percent,
Contributions Receivable,Total Non-Current Assets,FALSE,Percent,
Other Non-Current Assets,Total Non-Current Assets,FALSE,Percent,
"Gross Property, Plant and Equipment (PP&E)","Net Property, Plant and Equipment (PP&E)",FALSE,Percent,
Accumulated Depreciation,"Net Property, Plant and Equipment (PP&E)",TRUE,Percent,
"Net Property, Plant and Equipment (PP&E)",Total Non-Current Assets,FALSE,Percent,
Total Unrestricted Assets,,FALSE,Percent,
Total Liabilities,Total Liabilities and Equity,FALSE,Percent,
Total Current Liabilities,Total Liabilities,FALSE,Percent,
Current Long Term Debt,Total Current Liabilities,FALSE,Percent,
Accounts Payable Plus Accrued Expenses,Total Current Liabilities,FALSE,Percent,
Estimated Third Party Settlements (Current),Total Current Liabilities,FALSE,Percent,
Due to Affiliates (Current),Total Current Liabilities,FALSE,Percent,
Other Current Liabilities,Total Current Liabilities,FALSE,Percent,
Total Non-Current Liabilities,Total Liabilities,FALSE,Percent,
Long Term Debt,Total Non-Current Liabilities,FALSE,Percent,
Estimated Third Party Settlements (Non-Current),Total Non-Current Liabilities,FALSE,Percent,
Due to Affiliates (Non-Current),Total Non-Current Liabilities,FALSE,Percent,
Self Insurance Fund,Total Non-Current Liabilities,FALSE,Percent,
Accrued Pension and Post Retiree Health Benefits,Total Non-Current Liabilities,FALSE,Percent,
Other Non-Current Liabilities,Total Non-Current Liabilities,FALSE,Percent,
Total Equity,Total Liabilities and Equity,FALSE,Percent,
Total Liabilities and Equity,,TRUE,Percent,
Total Restricted Assets,,FALSE,Percent,
Cash and Investments (Restricted),Total Restricted Assets,FALSE,Percent,
Receivables (Restricted),Total Restricted Assets,FALSE,Percent,
Other Assets (Restricted),Total Restricted Assets,FALSE,Percent,
Total Restricted Liabilities and Equity,,TRUE,Percent,
Total Restricted Fund Balance,Total Restricted Liabilities and Equity,FALSE,Percent,
Total Liabilities (Restricted),Total Restricted Liabilities and Equity,FALSE,Percent,
Temporarily Restricted Net Assets,Total Restricted Fund Balance,FALSE,Percent,
Permanently Restricted Net Assets,Total Restricted Fund Balance,FALSE,Percent,
Total Gross Patient Service Revenue,Net Patient Service Revenue,FALSE,Percent,
Gross Inpatient Service Revenue,Total Gross Patient Service Revenue,FALSE,Percent,
Gross Outpatient Service Revenue,Total Gross Patient Service Revenue,FALSE,Percent,
Free Care (Charity Care),Net Patient Service Revenue,TRUE,Percent,
Bad Debt (Provision for Bad Debt),Net Patient Service Revenue,TRUE,Percent,
Contractuals,Net Patient Service Revenue,TRUE,Percent,
Changes in Prior Year Estimated/Final Settlements,Net Patient Service Revenue,TRUE,Percent,
Net Patient Service Revenue,Total Operating Revenue,FALSE,Percent,
Other Operating Revenue,Total Operating Revenue,FALSE,Percent,
Total Operating Revenue,Net Operating Income,FALSE,Percent,
Total Operating Expenses,Net Operating Income,TRUE,Percent,
Depreciation and Amortization,Total Operating Expenses,FALSE,Percent,
Interest,Total Operating Expenses,FALSE,Percent,
Advertising Expenses,Total Operating Expenses,FALSE,Percent,
Allowed Advertising Expenses,Advertising Expenses,FALSE,Percent,
Non-Allowed Advertising Expenses,Advertising Expenses,FALSE,Percent,
Salaries and Benefits,Total Operating Expenses,FALSE,Percent,
Other Operating Expenses,Total Operating Expenses,FALSE,Percent,
Net Operating Income,Net Income,FALSE,Percent,
Total Non-Operating Revenue,Net Income,FALSE,Percent,
Total Investment Income,Net Income,FALSE,Percent,
Interest and Dividends,Total Investment Income,FALSE,Percent,
Realized Gains/Losses on Sales of Securities,Total Investment Income,FALSE,Percent,
Permanently Impaired Security Write Downs,Total Investment Income,FALSE,Percent,
Gains/Losses on Joint Ventures/Equity Investments,Total Investment Income,FALSE,Percent,
Permanently Impaired Writedowns of Other Assets,Total Investment Income,FALSE,Percent,
"Other Non-Operating Revenues (Gifts, Bequests, etc.)",Total Investment Income,FALSE,Percent,
Net Income,Total Surplus/Deficit,FALSE,Percent,
Extraordinary Gains/Losses,Total Surplus/Deficit,FALSE,Percent,
Total Surplus/Deficit,Total Change in Unrestricted Net Assets,FALSE,Percent,
Total Change in Unrestricted Net Assets,,FALSE,Percent,
Net Assets Released for Restrictions,Total Change in Unrestricted Net Assets,FALSE,Percent,
Unrealized Gains/Losses on Investments,Total Change in Unrestricted Net Assets,FALSE,Percent,
Minimum Pension Liability Adjustment,Total Change in Unrestricted Net Assets,FALSE,Percent,
Transfers from/to Affiliates,Total Change in Unrestricted Net Assets,FALSE,Percent,
Mergers,Total Change in Unrestricted Net Assets,FALSE,Percent,
Consolidations with Support Organizations,Total Change in Unrestricted Net Assets,FALSE,Percent,
Other Changes,Total Change in Unrestricted Net Assets,FALSE,Percent,
Total Revenue,,FALSE,Percent,
Total Expenses,,FALSE,Percent,
Ratios,,FALSE,Percent,
Total Margin,Ratios,FALSE,Percent,
Operating Margin,Ratios,FALSE,Percent,
Non-Operating Margin,Ratios,FALSE,Percent,
Return on Equity,Ratios,FALSE,Percent,
Return on Assets,Ratios,FALSE,Percent,
Current Ratio,Ratios,FALSE,Float,
"Current Ratio, Including Restricted",Ratios,FALSE,Float,
Average Days in Accounts Receivable,Ratios,FALSE,Float,
Current Days Cash on Hand,Ratios,FALSE,Float,
"Current Days Cash on Hand, Including Restricted",Ratios,FALSE,Float,
Average Payment Period,Ratios,FALSE,Float,
Equity Financing Ratio,Ratios,FALSE,Float,
Fixed Asset Financing,Ratios,FALSE,Float,
Cash Flow to Total Debt,Ratios,FALSE,Float,
Debt Service Coverage Ratio,Ratios,FALSE,Float,
Total Asset Turnover,Ratios,FALSE,Float,
Fixed Asset Turnover,Ratios,FALSE,Float,
Average Age of Plant,Ratios,FALSE,Float,
Long Term Debt to Total Capitalization,Ratios,FALSE,Float,
Acid Test,Ratios,FALSE,Float,