Measure Name,Parent,New Name
Due from Affiliates,Total Current Assets,Due from Affiliates (Current)
Due from Affiliates,Total Non-Current Assets,Due from Affiliates (Non-Current)
Estimated Third Party Settlements,Total Current Liabilities,Estimated Third Party Settlements (Current)
Estimated Third Party Settlements,Total Non-Current Liabilities,Estimated Third Party Settlements (Non-Current)
Due to Affiliates,Total Current Liabilities,Due to Affiliates (Current)
Due to Affiliates,Total Non-Current Liabilities,Due to Affiliates (Non-Current)
Cash and Investments,Total Current Assets,Cash and Investments (Unrestricted)
Cash and Investments,Total Restricted Assets,Cash and Investments (Restricted)
Receivables,Total Restricted Assets,Receivables (Restricted)
Other Assets,Total Restricted Assets,Other Assets (Restricted)
Total Liabilities,Total Restricted Fund Balance,Total Liabilities (Restricted)