Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
11002,Massachusetts General Hospital Physicians Organization,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$1,102,343,000",,"$546,368,000",,,,"$1,648,711,000","$37,258,000",,"$74,537,000",,"($16,000)","$111,779,000","$1,760,490,000","$1,341,805,000",,"$19,800,000","$1,680,000",,"$241,806,000",,"$1,605,091,000","$155,399,000","$3,129,000",,"$158,528,000","($816,000)",,"$157,712,000",2.5%,6.3%,8.8%,,,,,,,,,
11810,Medical Affiliates of Cape Cod Inc,Physician Organization,3109,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$100,555,158",,"$2,232,444",,,,"$102,787,602",,,,,,-,"$102,787,602","$108,887,198",,"$365,048",,,"$30,810,935",,"$140,063,181","($37,275,579)","$36,957,444",,"($318,135)",,,"($318,135)",-36.3%,0.0%,-36.3%,,,,,,,,,
12151,"Mercy Inpatient Medical Associates, Inc",Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$9,752,552","$8,768","$8,922,516",,,,"$18,683,836",,,,,,-,"$18,683,836","$21,067,840","$783,877","$6,992",,,"$1,025,383",,"$22,884,092","($4,200,256)",,,"($4,200,256)",,,"($4,200,256)",-22.5%,0.0%,-22.5%,,,,,,,,,
14424,"Mercy Medical Group,Inc.",Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$3,003,018","$4,748","$2,277,040",,,,"$5,284,806",,,,,,-,"$5,284,806","$1,993,108","$4,244,343",,$3,,"$2,923,687","$6,807,242","$15,968,383","($10,683,577)",,,"($10,683,577)",,,"($10,683,577)",-202.2%,0.0%,-202.2%,,,,,,,,,
14425,Mercy Specialist Physicians,Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$217,961",($225),"$174,443",,,,"$392,179",,,,,,-,"$392,179",,"$179,396",,,,"$195,373",,"$374,769","$17,410",,,"$17,410",,,"$17,410",4.4%,0.0%,4.4%,,,,,,,,,
11394,MetroWest Physicians Services,Physician Organization,3888,2024,Dec 31,5,12,"01/01/2024-12/31/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$7,400,000",,,,,,"$7,400,000",,,,,,-,"$7,400,000","$8,200,000",,,,,"$1,800,000",,"$10,000,000","($2,600,000)",,,"($2,600,000)",,,"($2,600,000)",-35.1%,0.0%,-35.1%,,,,,,,,,
8750,Milford Regional Physician Group,Physician Organization,13157,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$98,973,046",,"$18,807,420",,,,"$117,780,466",,,,"($2,144)",,"($2,144)","$117,778,322","$95,009,480",,"$990,148","$274,027",,"$31,505,162",,"$127,778,817","($10,000,495)","$10,276,401",,"$275,906",,,"$275,906",-8.5%,0.0%,-8.5%,,,,,,,,,
11404,Mount Auburn Professional Services,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$73,314,000",,"$14,389,000",,,,"$87,703,000",,,,"$1,436,000",,"$1,436,000","$89,139,000","$89,910,000",,"$939,000",,,"$37,157,000",,"$128,006,000","($38,867,000)",,,"($38,867,000)",,,"($38,867,000)",-45.2%,1.6%,-43.6%,,,,,,,,,
16579,Nantucket Physician Organization,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$1,423,000",,"$662,000",,,,"$2,085,000",,,,,,-,"$2,085,000",,,,,,"$1,307,000",,"$1,307,000","$778,000","($2,764,000)",,"($1,986,000)",,,"($1,986,000)",37.3%,0.0%,37.3%,,,,,,,,,
8655,New England Baptist Medical Associates,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,965,000",,"$81,000",,,,"$13,046,000",,,,,,-,"$13,046,000","$16,981,000",,"$37,000",,,"$1,767,000",,"$18,785,000","($5,739,000)",,,"($5,739,000)",,,"($5,739,000)",-44.0%,0.0%,-44.0%,,,,,,,,,
8644,Newton-Wellesley Physician Hospital Group,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$96,421,000",,"$35,825,000",,,,"$132,246,000","$137,000",,,,,"$137,000","$132,383,000","$102,598,000",,"$1,483,000",,,"$42,051,000",,"$146,132,000","($13,749,000)","$13,500,000",,"($249,000)",,,"($249,000)",-10.5%,0.1%,-10.4%,,,,,,,,,
11004,North Shore Physicians Group,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$185,537,000",,"$47,588,000",,,,"$233,125,000","($12,419,000)",,"$11,736,000",,"($4,000)","($687,000)","$232,438,000","$215,393,000",,"$2,504,000","$13,000",,"$43,873,000",,"$261,783,000","($29,345,000)","$16,023,000",,"($13,322,000)",,,"($13,322,000)",-12.3%,-0.3%,-12.6%,,,,,,,,,
11408,Northeast Medical Practice,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$52,895,000",,"$925,000",,,,"$53,820,000",,,,"($676,000)",,"($676,000)","$53,144,000","$51,355,000",,"$472,000",,,"$29,144,000",,"$80,971,000","($27,827,000)","$27,827,000",,,,,-,-51.1%,-1.3%,-52.4%,,,,,,,,,
8745,Partners Community Physician Organization,Physician Organization,3791,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$172,944,000",,"$64,823,000",,,,"$237,767,000","$2,375,000",,"$9,037,000",,,"$11,412,000","$249,179,000","$110,800,000",,"$1,948,000","$52,000",,"$139,936,000",,"$252,736,000","($3,557,000)","$1,158,000",,"($2,399,000)","$9,000",,"($2,390,000)",-6.0%,4.6%,-1.4%,,,,,,,,,
14426,"Physicians Organization at Children's Hospital, Inc. and Foundation",Physician Organization,14286,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$852,900,198",,"$191,384,675",,,"$32,512,809","$1,076,797,682","$22,033,475",,,"$200,370,333","$5,765,667","$228,169,475","$1,304,967,157","$877,334,777",,"$1,580,711",,,"$267,866,804",,"$1,146,782,292","$158,184,865","($250,000,000)",,"($91,815,135)","$5,220,317",,"($86,594,818)",-5.4%,17.5%,12.1%,,,,,,,,,
16532,"Pioneer Valley Cardiology Associates, Inc",Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$7,729,013",,"$157,230",,,,"$7,886,243",,,,,,-,"$7,886,243",,"$8,853,065","$10,005",($7),,"$6,885,375",,"$15,748,438","($7,862,195)",,,"($7,862,195)",,,"($7,862,195)",-99.7%,0.0%,-99.7%,,,,,,,,,
16533,"Riverbend Medical Group, Inc",Physician Organization,14288,2024,Jun 30,5,12,"07/01/2023-06/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$60,268,956","$9,267,069","$19,158,125",,,,"$88,694,150",,,,,,-,"$88,694,150","$88,710,710","$4,528,788","$979,702",$109,,"$16,196,078","$4,609,747","$115,025,134","($26,330,984)","$17,500,000",,"($8,830,984)",,,"($8,830,984)",-29.7%,0.0%,-29.7%,,,,,,,,,
14427,Saint Vincent Medical Company,Physician Organization,3888,2024,Dec 31,5,12,"01/01/2024-12/31/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$38,600,000",,,,,,"$38,600,000",,,,,"$100,000","$100,000","$38,700,000","$41,000,000",,"$500,000","$100,000",,"$12,200,000",,"$53,800,000","($15,100,000)",,,"($15,100,000)",,,"($15,100,000)",-39.3%,0.3%,-39.0%,,,,,,,,,
11915,Seacoast Affiliated Group Practice,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,554,000",,"$672,000",,,,"$13,226,000",,,,,,-,"$13,226,000","$15,237,000",,"$103,000",,,"$5,272,000",,"$20,612,000","($7,386,000)",,,"($7,386,000)",,,"($7,386,000)",-55.8%,0.0%,-55.8%,,,,,,,,,
10327,Signature Healthcare Medical Group,Physician Organization,9991,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$59,220,411","$16,107,818","($577,344)","$9,598",,"$4,800","$74,765,283",,,,,,-,"$74,765,283","$75,169,451",,"$704,003","$1,198",,"$15,301,492",,"$91,176,144","($16,410,861)","($2,144,375)","$17,295,355","($1,259,881)",,,"($1,259,881)",-21.9%,0.0%,-21.9%,,,,,,,,,
11497,Southcoast Physician Group,Physician Organization,4027,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$229,432,580",,"$78,520,472","$586,852",,,"$308,539,904",,,,,,-,"$308,539,904","$322,258,114",,"$3,088,852",,,"$56,473,911",,"$381,820,877","($73,280,972)","$73,280,972",,($0),,,($0),-23.8%,0.0%,-23.8%,,,,,,,,,
11400,Steward Medical Group,Physician Organization,11273,2024,Dec 31,3,9,"01/01/2024-09/30/2024
",273.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11397,"Sturdy Memorial Associates, Inc",Physician Organization,12773,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$57,713,143",,"$10,436,264",,,,"$68,149,407",,,,,,-,"$68,149,407","$68,506,943",,"$442,466",,"$3,119,076","$16,348,338",,"$88,416,823","($20,267,416)",,,"($20,267,416)",,,"($20,267,416)",-29.7%,0.0%,-29.7%,,,,,,,,,
11801,The Affiliated Physicians Group,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$100,663,000",,"$15,916,000",,,,"$116,579,000",,,,,,-,"$116,579,000","$123,095,000",,"$2,293,000",,,"$41,655,000",,"$167,043,000","($50,464,000)","$50,464,000",,,,,-,-43.3%,0.0%,-43.3%,,,,,,,,,
10991,Tufts Medical Center Physician Organization,Physician Organization,12775,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$208,486,000",,"$148,579,000",,,,"$357,065,000",,,,,,-,"$357,065,000","$329,941,000",,"$698,000","$161,000",,"$103,587,000",,"$434,387,000","($77,322,000)","$84,928,000",,"$7,606,000",,,"$7,606,000",-21.7%,0.0%,-21.7%,,,,,,,,,
9784,UMass Memorial Medical Group Inc.,Physician Organization,6755,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$577,146,000",,"$237,600,000",,,"$659,000","$815,405,000","$362,000","$730,000",,"$8,505,000",,"$9,597,000","$825,002,000","$638,295,000",,"$3,060,000",,,"$195,173,000",,"$836,528,000","($11,526,000)","$28,873,000",,"$17,347,000",,,"$17,347,000",-2.6%,1.2%,-1.4%,,,,,,,,,
14428,Western Mass Physician Associates,Physician Organization,12767,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$5,824,248","$1,933,810","$1,419,869",,,,"$9,177,927",,,,,,-,"$9,177,927","$7,640,483",,"$4,966",,,"$2,545,182",,"$10,190,631","($1,012,704)","$855,000",,"($157,704)",,,"($157,704)",-11.0%,0.0%,-11.0%,,,,,,,,,
12022,Winchester Physician Associates,Physician Organization,16665,2024,Sep 30,5,12,"10/01/2023-09/30/2024
",365,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$60,389,000",,"$6,370,000",,,,"$66,759,000",,,,,,-,"$66,759,000","$52,278,000",,"$379,000",,,"$25,547,000",,"$78,204,000","($11,445,000)",,,"($11,445,000)",,,"($11,445,000)",-17.1%,0.0%,-17.1%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steward Norwood has been closed since 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signature Brockton Hospital closed due to fire in February 2023 and reopened in August 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Adams Regional Hospital opened in March 2024 and is included for the first time in this data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eight or 9 months of HFY 2024 data was provided for Steward Health Care's former hospitals due to closure or change in ownership.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steward Health Care did not file the required HHS or physician organization data.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,